"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3WGJU8UW","book","2023","Rodrigues, Bruno","Building reproducible analytical pipelines with R - Preface","","","","","https://raps-with-r.dev/preface.html","This study introduces a framework aimed at enhancing the reliability, traceability, and reproducibility of data analysis processes, emphasizing the establishment of a systematic approach to data analysis to reduce the need for post-analysis revisions and enhance efficiency. Central to this framework is the concept of a ""reproducible analytical pipeline"" (RAP). Two primary approaches to creating a RAP are discussed: involving a dedicated team member responsible for converting complex code into a reproducible pipeline or individual adoption of reproducibility practices, challenging the common misconception that prioritizing reproducibility consumes excessive time. The study demonstrates that the proposed techniques do not significantly extend analysis time and, in fact, seamlessly integrate into the analytical process, enhancing project management, reducing revision needs, and mitigating challenges through testing. It highlights the recurring nature of data analysis, where even seemingly simple tasks evolve, emphasizing the need for consistency and completeness in preserving scripts. A practical example illustrates the importance of a reproducible pipeline in gathering data from diverse sources. The study underscores proactive communication with stakeholders as a critical factor when initiating a reproducible analytical pipeline, streamlining data acquisition and processing and facilitating reproducibility from project inception.","2023-10-03","2023-04-26 23:12:46","2023-10-31 18:50:56","2023-04-26 23:12:46","","","","","","","Reproducible pipelines","","","","","","","English","","","","","","","","","/Users/guerrero-fj/Zotero/storage/UPBLT7L2/preface.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UI6V5CLG","journalArticle","2002","Odlyzko, Andrew","The rapid evolution of scholarly communication","Learned Publishing","","1741-4857","10.1087/095315102753303634","https://onlinelibrary.wiley.com/doi/abs/10.1087/095315102753303634","Traditional journals, even those available electronically, are changing slowly. However, there is rapid evolution in scholarly communication. Usage is moving to electronic formats. In some areas, it appears that electronic versions of papers are being read about as often as the printed journal versions. Although there are serious difficulties in comparing figures from different media, the growth rates in usage of electronic scholarly information are sufficiently high that if they continue for a few years, there will be no doubt that print versions will be eclipsed. Further, much of the electronic information that is accessed is outside the formal scholarly publication process. There is also vigorous growth in forms of electronic communication that take advantage of the unique capabilities of the web, and which simply do not fit into the traditional journal publishing format. This paper presents some statistics on usage of print and electronic information. It also discusses some preliminary evidence about the changing patterns of usage. It appears that much of the online usage comes from new readers (esoteric research papers assigned in undergraduate classes, for example) and often from places that do not have access to print journals. Also, the reactions to even slight barriers to usage suggest that even high-quality scholarly papers are not irreplaceable. Readers are faced with a ‘river of knowledge’ that allows them to select among a multitude of sources, and to find near substitutes when necessary. To stay relevant, scholars, publishers and librarians will have to make even greater efforts to make their material easily accessible.","2002","2023-04-26 23:09:09","2023-04-26 23:09:09","2023-04-26 23:09:09","7-19","","1","15","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1087/095315102753303634","","/Users/guerrero-fj/Zotero/storage/VIMBVZDX/Odlyzko - 2002 - The rapid evolution of scholarly communication.pdf; /Users/guerrero-fj/Zotero/storage/QAH9DAZJ/095315102753303634.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZY6EEI4","journalArticle","2008","Harnad, Stevan; Brody, Tim; Vallières, François; Carr, Les; Hitchcock, Steve; Gingras, Yves; Oppenheim, Charles; Hajjem, Chawki; Hilf, Eberhard R.","The Access/Impact Problem and the Green and Gold Roads to Open Access: An Update","Serials Review","","0098-7913","10.1016/j.serrev.2007.12.005","https://www.sciencedirect.com/science/article/pii/S0098791307001530","The research access/impact problem arises because journal articles are not accessible to all of their would-be users; hence, they are losing potential research impact. The solution is to make all articles open access (OA, i.e., accessible online, free for all). OA articles have significantly higher citation impact than non-OA articles. There are two roads to OA: the “golden” road (publish your article in an OA journal) and the “green” road (publish your article in a non-OA journal but also self-archive it in an OA archive). About 10% of journals are gold, but over 90% are already green (i.e., they have given their authors the green light to self-archive); yet only about 10–20% of articles have been self-archived. To reach 100% OA, self-archiving needs to be mandated by researchers’ employers and funders, as they are now increasingly beginning to do.","2008-03-01","2023-04-26 23:07:26","2023-04-26 23:07:26","2023-04-26 23:07:26","36-40","","1","34","","Serials Review","The Access/Impact Problem and the Green and Gold Roads to Open Access","","","","","","","en","","","","","ScienceDirect","","","","/Users/guerrero-fj/Zotero/storage/D3NW4WJC/Harnad et al. - 2008 - The AccessImpact Problem and the Green and Gold R.pdf; /Users/guerrero-fj/Zotero/storage/Q9R5T4AX/S0098791307001530.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRLFPA34","journalArticle","2016","Goodman, Steven N.; Fanelli, Daniele; Ioannidis, John P. A.","What does research reproducibility mean?","Science Translational Medicine","","1946-6234, 1946-6242","10.1126/scitranslmed.aaf5027","https://www.science.org/doi/10.1126/scitranslmed.aaf5027","The language and conceptual framework of “research reproducibility” are nonstandard and unsettled across the sciences. In this Perspective, we review an array of explicit and implicit definitions of reproducibility and related terminology, and discuss how to avoid potential misunderstandings when these terms are used as a surrogate for “truth.” Concern about the reproducibility of scientific research has been steadily rising recently with reports that the results of experiments in numerous domains of science could not be replicated (1, 2). Whereas problems in biomedical research have garnered most of the attention, concerns have touched almost every field in the biological and social sciences and beyond (3) (Fig. 1). As the movement to examine and enhance the reliability of research expands, it is important to note that some of its basic terms—reproducibility, replicability, reliability, robustness, and generalizabilityare not standardized. This diverse nomenclature has led to confusion, both conceptual and operational, about what kind of confirmation is needed to trust a given scientific result. Here, we dissect this vocabulary, explore the reasons for the confusion, and offer a framework to improve both communication and understanding.","2016-06","2023-04-26 23:03:36","2023-10-31 18:30:04","2023-04-26 23:03:36","","","341","8","","Sci. Transl. Med.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/XM3N56YH/Goodman et al. - 2016 - What does research reproducibility mean.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TZCTD4H","journalArticle","2007","Gentleman, Robert; Temple Lang, Duncan","Statistical Analyses and Reproducible Research","Journal of Computational and Graphical Statistics","","1061-8600, 1537-2715","10.1198/106186007X178663","http://www.tandfonline.com/doi/abs/10.1198/106186007X178663","For various reasons, it is important, if not essential, to integrate the computations and code used in data analyses, methodological descriptions, simulations, etc. with the documents that describe and rely on them. This integration allows readers to both verify and adapt the statements in the documents. Authors can easily reproduce them in the future, and they can present the document’s contents in a different medium, e.g. with interactive controls. This paper describes a software framework for authoring and distributing these integrated, dynamic documents that contain text, code, data, and any auxiliary content needed to recreate the computations. The documents are dynamic in that the contents, including figures, tables, etc., can be recalculated each time a view of the document is generated. Our model treats a dynamic document as a master or “source” document from which one can generate different views in the form of traditional, derived documents for different audiences. We introduce the concept of a compendium as both a container for the different elements that make up the document and its computations (i.e. text, code, data, ...), and as a means for distributing, managing and updating the collection. The step from disseminating analyses via a compendium to reproducible research is a small one. By reproducible research, we mean research papers with accompanying software tools that allow the reader to directly reproduce the results and employ the methods that are presented in the research paper. Some of the issues involved in paradigms for the production, distribution and use of such reproducible research are discussed.","2007-03","2023-04-26 23:03:36","2023-10-31 18:28:47","2023-04-26 23:03:36","1-23","","1","16","","Journal of Computational and Graphical Statistics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/FSVHMHDJ/Gentleman and Temple Lang - 2007 - Statistical Analyses and Reproducible Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRXSF53N","journalArticle","2015","Boettiger, Carl","An introduction to Docker for reproducible research","ACM SIGOPS Operating Systems Review","","0163-5980","10.1145/2723872.2723882","https://dl.acm.org/doi/10.1145/2723872.2723882","As computational work becomes more and more integral to many aspects of scientific research, computational reproducibility has become an issue of increasing importance to computer systems researchers and domain scientists alike. Though computational reproducibility seems more straight forward than replicating physical experiments, the complex and rapidly changing nature of computer environments makes being able to reproduce and extend such work a serious challenge. In this paper, I explore common reasons that code developed for one research project cannot be successfully executed or extended by subsequent researchers. I review current approaches to these issues, including virtual machines and workflow systems, and their limitations. I then examine how the popular emerging technology Docker combines several areas from systems research - such as operating system virtualization, cross-platform portability, modular re-usable elements, versioning, and a 'DevOps' philosophy, to address these challenges. I illustrate this with several examples of Docker use with a focus on the R statistical environment.","2015-01-20","2023-04-26 23:03:36","2023-04-26 23:03:36","2023-04-26 23:03:36","71-79","","1","49","","SIGOPS Oper. Syst. Rev.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/MAYLE329/Boettiger - 2015 - An introduction to Docker for reproducible researc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWW8UKTV","journalArticle","2013","Bechhofer, Sean; Buchan, Iain; De Roure, David; Missier, Paolo; Ainsworth, John; Bhagat, Jiten; Couch, Philip; Cruickshank, Don; Delderfield, Mark; Dunlop, Ian; Gamble, Matthew; Michaelides, Danius; Owen, Stuart; Newman, David; Sufi, Shoaib; Goble, Carole","Why linked data is not enough for scientists","Future Generation Computer Systems","","0167739X","10.1016/j.future.2011.08.004","https://linkinghub.elsevier.com/retrieve/pii/S0167739X11001439","Scientific data represents a significant portion of the linked open data cloud and scientists stand to benefit from the data fusion capability this will afford. Publishing linked data into the cloud, however, doesn’t ensure the required reusability. Publishing has requirements of provenance, quality, credit, attribution and methods to provide the reproducibility that enables validation of results. In this paper we make the case for a scientific data publication model on top of linked data and introduce the notion of Research Objects as first class citizens for sharing and publishing.","2013-02","2023-04-26 23:03:36","2023-10-31 18:25:55","2023-04-26 23:03:36","599-611","","2","29","","Future Generation Computer Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/DFSD75E6/Bechhofer et al. - 2013 - Why linked data is not enough for scientists.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FM87CCWH","journalArticle","2017","Nüst, Daniel; Konkol, Markus; Pebesma, Edzer; Kray, Christian; Schutzeichel, Marc; Przibytzin, Holger; Lorenz, Jörg","Opening the Publication Process with Executable Research Compendia","D-Lib Magazine","","1082-9873","10.1045/january2017-nuest","http://www.dlib.org/dlib/january17/nuest/01nuest.html","A strong movement towards openness has seized science. Open data and methods, open source software, Open Access, open reviews, and open research platforms provide the legal and technical solutions to new forms of research and publishing. However, publishing reproducible research is still not common practice. Reasons include a lack of incentives and a missing standardized infrastructure for providing research material such as data sets and source code together with a scientific paper. Therefore we first study fundamentals and existing approaches. On that basis, our key contributions are the identification of core requirements of authors, readers, publishers, curators, as well as preservationists and the subsequent description of an executable research compendium (ERC). It is the main component of a publication process providing a new way to publish and access computational research. ERCs provide a new standardisable packaging mechanism which combines data, software, text, and a user interface description. We discuss the potential of ERCs and their challenges in the context of user requirements and the established publication processes. We conclude that ERCs provide a novel potential to find, explore, reuse, and archive computer-based research.","2017-01","2023-04-26 23:03:36","2023-10-31 18:33:58","2023-04-26 23:03:36","","","1/2","23","","D-Lib Magazine","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/H87HZR5V/Nüst et al. - 2017 - Opening the Publication Process with Executable Re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXQXUPSD","journalArticle","2014","Easterbrook, Steve M.","Open code for open science?","Nature Geoscience","","1752-0894, 1752-0908","10.1038/ngeo2283","http://www.nature.com/articles/ngeo2283","In software engineering, this is known as technical debt: by deferring issues such as code readability and maintainability, a debt is created that someone in the future might have to pay, in the extra effort needed to re-run or modify the code1. The point of the metaphor is not that debt is bad per se. After all, we frequently incur debt to obtain something of immediate value, for example, using a mortgage to buy a house. The point is that such debts have to be managed carefully, to prevent them spiralling out of control. Open source policies in scholarly journals can help here. If journals ask for open code, they create a strong incentive for authors to clean up the code each time a paper is produced, rather than deferring such tasks indefinitely. As a second order effect, such policies should encourage more scientists to take the opportunity to improve their software-building skills, through courses such as Software Carpentry","2014-11","2023-04-26 23:03:36","2023-10-31 18:28:09","2023-04-26 23:03:36","779-781","","11","7","","Nature Geosci","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/56PM4JK4/Easterbrook - 2014 - Open code for open science.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KLFH8PB","journalArticle","2014","Bloom, Theodora; Ganley, Emma; Winker, Margaret","Data Access for the Open Access Literature: PLOS's Data Policy","PLoS Biology","","1545-7885","10.1371/journal.pbio.1001797","https://dx.plos.org/10.1371/journal.pbio.1001797","Data are any and all of the digital materials that are collected and analyzed in the pursuit of scientific advances. In line with its stance on providing Open Access to research articles themselves, PLOS strongly believes that, to best foster scientific progress, the underlying data should be made freely available for researchers to use, wherever this is legal and ethical. Data availability allows validation, replication, reanalysis, new analysis, reinterpretation, or inclusion into meta-analyses, and facilitates reproducibility of research [1]. Making data available for all these uses provides a better ‘‘bang for the buck’’ out of scientific research, much of which is funded from public or nonprofit sources. Ultimately, our viewpoint is quite simple: Ensuring access to the underlying data should be an intrinsic part of the scientific publishing process.","2014-02-25","2023-04-26 23:03:36","2023-11-01 02:15:58","2023-04-26 23:03:36","e1001797","","2","12","","PLoS Biol","Data Access for the Open Access Literature","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/DTFXPNLE/Bloom et al. - 2014 - Data Access for the Open Access Literature PLOS's.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6F3KJDQ","journalArticle","2009","Bizer, Christian; Heath, Tom; Berners-Lee, Tim","Linked Data - The Story So Far:","International Journal on Semantic Web and Information Systems","","1552-6283, 1552-6291","10.4018/jswis.2009081901","https://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/jswis.2009081901","The term “Linked Data” refers to a set of best practices for publishing and connecting structured data on the Web. These best practices have been adopted by an increasing number of data providers over the last three years, leading to the creation of a global data space containing billions of assertions— the Web of Data. In this article, the authors present the concept and technical principles of Linked Data, and situate these within the broader context of related technological developments. They describe progress to date in publishing Linked Data on the Web, review applications that have been developed to exploit the Web of Data, and map out a research agenda for the Linked Data community as it moves forward.","2009-07-01","2023-04-26 23:03:36","2023-04-26 23:03:36","2023-04-26 23:03:36","1-22","","3","5","","","Linked Data - The Story So Far","","","","","","","ng","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/9UJJCPFG/Bizer et al. - 2009 - Linked Data - The Story So Far.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KGM339Q","journalArticle","2010","Barnes, Nick","Publish your computer code: it is good enough","Nature","","0028-0836, 1476-4687","10.1038/467753a","http://www.nature.com/articles/467753a","The code inside your laptop, television, phone or car is often badly documented, inconsistent and poorly tested. Why does this matter to science? Because to turn raw data into published research papers often requires a little programming, which means that most scientists write software. And you scientists generally think the code you write is poor. It doesn’t contain good comments, have sensible variable names or proper indentation. It breaks if you introduce badly formatted data, and you need to edit the output by hand to get the columns to line up. It includes a routine written by a graduate student which you never completely understood, and so on. Sound familiar? Well, those things don’t matter. That the code is a little raw is one of the main reasons scientists give for not sharing it with others. Yet, software in all trades is written to be good enough for the job intended. So if your code is good enough to do the job, then it is good enough to release — and releasing it will help your research and your field. At the Climate Code Foundation, we encourage scientists to publish their software. Our experience shows why this is important and how researchers in all fields can benefit","2010-10","2023-04-26 23:03:36","2023-10-31 18:25:25","2023-04-26 23:03:36","753-753","","7317","467","","Nature","Publish your computer code","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/EP4HPTBU/Barnes - 2010 - Publish your computer code it is good enough.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPCWD68D","bookSection","1991","Nonaka, Ikujiro","The Knowledge-Creating Company","The Economic Impact of Knowledge","978-0-7506-7009-8","","","https://linkinghub.elsevier.com/retrieve/pii/B9780750670098500161","This 1991 article helped popularize the notion of “tacit” knowledge – the valuable and highly subjective insights and intuitions that are difficult to capture and share because people carry them in their heads. Years later, the piece can still startle a reader with its views of organizations and of the types of knowledge that inform them. For example, the advice on how to distill objective and transferable, or “explicit,” knowledge from tacit knowledge – with a vivid illustration of Matsushita Electric’s efforts to build a better bread-making machine – is both arresting and actionable. The next step: ensuring that explicit knowledge is translated back into tacit knowledge that will then go on to yield yet another innovative solution.","1991","2023-07-14 21:05:28","2023-11-01 01:07:06","2023-07-14 21:05:28","175-187","","","","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/B978-0-7506-7009-8.50016-1","","/Users/guerrero-fj/Zotero/storage/KLZW9QA2/Nonaka - 1998 - The Knowledge-Creating Company.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56QIIC62","journalArticle","1994","Nonaka, Ikujiro","A Dynamic Theory of Organizational Knowledge Creation","Organization Science","","1047-7039","","https://www.jstor.org/stable/2635068","This paper proposes a paradigm for managing the dynamic aspects of organizational knowledge creating processes. Its central theme is that organizational knowledge is created through a continuous dialogue between tacit and explicit knowledge. The nature of this dialogue is examined and four patterns of interaction involving tacit and explicit knowledge are identified. It is argued that while new knowledge is developed by individuals, organizations play a critical role in articulating and amplifying that knowledge. A theoretical framework is developed which provides an analytical perspective on the constituent dimensions of knowledge creation. This framework is then applied in two operational models for facilitating the dynamic creation of appropriate organizational knowledge.","1994","2023-07-14 21:05:33","2023-07-14 21:05:33","2023-07-14 21:05:33","14-37","","1","5","","","","","","","","","","","","","","","JSTOR","","Publisher: INFORMS","","/Users/guerrero-fj/Zotero/storage/ZYRSQT8Y/Nonaka - 1994 - A Dynamic Theory of Organizational Knowledge Creat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT959EUV","journalArticle","2022","Maras, Marie-Helen; Arsovska, Jana; Wandt, Adam Scott; Knieps, Melanie; Logie, Kenji","The SECI model and darknet markets: Knowledge creation in criminal organizations and communities of practice","European Journal of Criminology","","1477-3708","10.1177/14773708221115167","https://doi.org/10.1177/14773708221115167","This study examines darknet markets through the lens of a business theory on knowledge management. Taking epistemological and ontological dimensions into consideration, this study uses Nonaka's (1991) SECI model as a theoretical framework to identify and describe how tacit and explicit knowledge is created and shared on Silk Road, Pandora and Agora darknet markets, and how people affect this process. By studying this process, insights can be obtained into darknet market criminal organizations and communities of practice and their impact on the continuity and resilience of illicit darknet markets. This project used data from the Internet Archive collection of publicly available darknet market scrapes between 2011 and 2015 from Branwen et al. (2015). We observed instances of the SECI model (socialization, externalization, combination, and internalization) on darknet markets in both criminal organizations and communities of practice. Darknet market leaders and groups facilitated both knowledge creation and sharing. This study is the first to test the SECI model on darknet markets. The study provides an understanding of the complexity and resilience of darknet markets, as well as valuable information to help guide law enforcement agencies efforts to stop the illicit trade of goods and services.","2022-08-19","2023-07-14 22:52:43","2023-07-14 22:52:43","2023-07-14 22:52:43","14773708221115167","","","","","","The SECI model and darknet markets","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications","","/Users/guerrero-fj/Zotero/storage/VL5ZY3TI/Maras et al. - 2022 - The SECI model and darknet markets Knowledge crea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ET85HRQZ","journalArticle","2021","Cooke, Steven J.; Jeanson, Amanda L.; Bishop, Ian; Bryan, Brett A.; Chen, Chundi; Cvitanovic, Christopher; Fen, Yang; Forester, John; Fürst, Christine; Hu, Jie; La Rosa, Daniele; Meurk, Colin; Nguyen, Vivian M.; Paolisso, Michael; Qi, Yunfei; Chun, Faith K. S.; Szetey, Katrina; Wang, Xinhao; Wang, Yuncai; Archibald, Carla L.; Young, Nathan","On the theory-practice gap in the environmental realm: perspectives from and for diverse environmental professionals","Socio-Ecological Practice Research","","2524-5287","10.1007/s42532-021-00089-0","https://doi.org/10.1007/s42532-021-00089-0","The theory-practice gap (TPG) is well known in the environmental realm, referring to disconnects between knowledge generated through scientific research and the needs, expectations, and practices of knowledge users for environmental decision-making and practice. While the presence of the TPG is well established, we have yet to fully implement mechanisms for overcoming its challenges. Thus, our goal is to characterize the TPG and identify practical recommendations for minimizing it. Here, a diverse group of experts in the environmental realm (spanning landscape planning, conservation science, environmental sociology, resource management, political science, and anthropology, among others) present our perspectives on the TPG. More specifically, we share an organized framework for understanding the TPG and suggest recommendations that can help make progress in one or more dimension(s). Conceptual topics discussed are the implications of the gap and its persistence. Organizational/institutional topics include the implications of the overabundance, inaccessibility, and uncertainty of scientific information, and a need for mainstreaming boundary spanning activities. Lastly, cultural topics include differences in culture and epistemologies across knowledge generators and users, shifting cultures through co-production, and changes in educational curricula. Recommendations for minimizing the TPG include conceptually recasting what is considered ‘success,’ institutional reform, enhanced information delivery, leveraging knowledge brokers and boundary organizations, leveraging ‘champions’ in policy, using co-production and/or integrative research, confronting the contemporary ‘fake news’ phenomenon, and rethinking researcher and practitioner training and development. By sharing our framework and recommendations, we provide insight, as well as a starting point for those looking to narrow the TPG and improve knowledge generator-user relationships.","2021-09-01","2023-07-17 16:37:40","2023-07-17 16:37:40","2023-07-17 16:37:40","243-255","","3","3","","Socio Ecol Pract Res","On the theory-practice gap in the environmental realm","","","","","","","en","","","","","Springer Link","","","","/Users/guerrero-fj/Zotero/storage/LDNBEVFU/Cooke et al. - 2021 - On the theory-practice gap in the environmental re.pdf","","","Science policy; Co-production; Environmental practice; Knowledge mobilization; Knowledge-action gap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4JQTPD2","journalArticle","2019","Knutti, Reto","Closing the Knowledge-Action Gap in Climate Change","One Earth","","25903322","10.1016/j.oneear.2019.09.001","https://linkinghub.elsevier.com/retrieve/pii/S2590332219300284","Scientific understanding of climate change has accelerated in recent decades, but climate action has not kept pace. As the impacts of climate change become increasingly evident and public concern gains momentum, it is a pivotal time to consider the role of science in closing the gap between knowledge and action. A Turning Point in an Expanding Gap? Climate change is finally attracting people’s attention across the spectrum of political views. Extreme heatwaves, fires in the Arctic, the accelerated melt of glaciers and ice sheets, global youth activism, intergovernmental reports on climate change and biodiversity, and thousands of scientists calling attention to the discrepancy between agreed climate targets and ever-rising CO2 emissions1 have all contributed. Never since the Conference of the Parties in Copenhagen a decade ago has the attention on climate change been as focused as it is now. But a core question remains: can we harness this momentum to bridge the persistent gap between knowledge and action?","2019-09","2023-07-17 16:37:05","2023-10-31 18:31:01","2023-07-17 16:37:05","21-23","","1","1","","One Earth","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/guerrero-fj/Zotero/storage/IE5ANV52/Knutti - 2019 - Closing the Knowledge-Action Gap in Climate Change.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUQXQXRZ","journalArticle","2022","Roche, Dominique G.; O'Dea, Rose E.; Kerr, Kecia A.; Rytwinski, Trina; Schuster, Richard; Nguyen, Vivian M.; Young, Nathan; Bennett, Joseph R.; Cooke, Steven J.","Closing the knowledge-action gap in conservation with open science","Conservation Biology","","1523-1739","10.1111/cobi.13835","https://onlinelibrary.wiley.com/doi/abs/10.1111/cobi.13835","The knowledge-action gap in conservation science and practice occurs when research outputs do not result in actions to protect or restore biodiversity. Among the diverse and complex reasons for this gap, three barriers are fundamental: knowledge is often unavailable to practitioners and challenging to interpret or difficult to use or both. Problems of availability, interpretability, and useability are solvable with open science practices. We considered the benefits and challenges of three open science practices for use by conservation scientists and practitioners. First, open access publishing makes the scientific literature available to all. Second, open materials (detailed methods, data, code, and software) increase the transparency and use of research findings. Third, open education resources allow conservation scientists and practitioners to acquire the skills needed to use research outputs. The long-term adoption of open science practices would help researchers and practitioners achieve conservation goals more quickly and efficiently and reduce inequities in information sharing. However, short-term costs for individual researchers (insufficient institutional incentives to engage in open science and knowledge mobilization) remain a challenge. We caution against a passive approach to sharing that simply involves making information available. We advocate a proactive stance toward transparency, communication, collaboration, and capacity building that involves seeking out and engaging with potential users to maximize the environmental and societal impact of conservation science.","2022","2023-07-17 16:36:41","2023-07-17 16:36:41","2023-07-17 16:36:41","e13835","","3","36","","","","","","","","","","en","© 2021 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/cobi.13835","","/Users/guerrero-fj/Zotero/storage/7KWF8SX4/Roche et al. - 2022 - Closing the knowledge-action gap in conservation w.pdf; /Users/guerrero-fj/Zotero/storage/BFZ6FBBZ/cobi.html","","","transparency; acceso abierto; código abierto; critical appraisal; datos abiertos; evidence-based decision-making; knowledge mobilization; movilización del conocimiento; open access; open code; open data; open education resources; recursos educativos abiertos; toma de decisiones basada en evidencias; transparencia; valuación crítica; 严格评价; 开放代码; 开放存取; 开放教育资源; 开放数据; 循证决策; 知识动员; 透明度","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETAXK8V6","journalArticle","2021","Singh, Gerald G.; Harden-Davies, Harriet; Allison, Edward H.; Cisneros-Montemayor, Andrés M.; Swartz, Wilf; Crosman, Katherine M.; Ota, Yoshitaka","Will understanding the ocean lead to “the ocean we want”?","Proceedings of the National Academy of Sciences","","","10.1073/pnas.2100205118","https://www.pnas.org/doi/full/10.1073/pnas.2100205118","The current draft of the Ocean Decade Implementation Plan establishes a framework of outcomes, actions, and objectives, acknowledging the need for interdisciplinary approaches to design and deliversolution-oriented research alongside ocean-dependent people (1). Recent proposals from the academic literature for the Ocean Decade emphasize increasing our global biophysical understanding through exploration and observation of, and experimentation on, the ocean (2–5). But will understanding the ocean lead to “the ocean we want”? We argue that proposals for the UN Decade should consider a crucial point: To achieve the ocean we want, we must better understand the needs and priorities of ocean-dependent peoples and evaluate potential solutions for them.","2021-02-02","2023-07-17 16:36:24","2023-10-31 18:35:25","2023-07-17 16:36:24","e2100205118","","5","118","","","","","","","","","","","","","","","pnas.org (Atypon)","","Publisher: Proceedings of the National Academy of Sciences","","/Users/guerrero-fj/Zotero/storage/LTLJ6ZNZ/Singh et al. - 2021 - Will understanding the ocean lead to “the ocean we.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
